Id;ActivityHour;Date;seconds;Calories
1503960366;4/12/2016 0:00;4/12/2016 0:00;12:00:00 a. m.;81
1503960366;4/12/2016 1:00;4/12/2016 0:00;1:00:00 a. m.;61
1503960366;4/12/2016 2:00;4/12/2016 0:00;2:00:00 a. m.;59
1503960366;4/12/2016 3:00;4/12/2016 0:00;3:00:00 a. m.;47
1503960366;4/12/2016 4:00;4/12/2016 0:00;4:00:00 a. m.;48
1503960366;4/12/2016 5:00;4/12/2016 0:00;5:00:00 a. m.;48
1503960366;4/12/2016 6:00;4/12/2016 0:00;6:00:00 a. m.;48
1503960366;4/12/2016 7:00;4/12/2016 0:00;7:00:00 a. m.;47
1503960366;4/12/2016 8:00;4/12/2016 0:00;8:00:00 a. m.;68
1503960366;4/12/2016 9:00;4/12/2016 0:00;9:00:00 a. m.;141
1503960366;4/12/2016 10:00;4/12/2016 0:00;10:00:00 a. m.;99
1503960366;4/12/2016 11:00;4/12/2016 0:00;11:00:00 a. m.;76
1503960366;4/12/2016 12:00;4/12/2016 0:00;12:00:00 p. m.;73
1503960366;4/12/2016 13:00;4/12/2016 0:00;1:00:00 p. m.;66
1503960366;4/12/2016 14:00;4/12/2016 0:00;2:00:00 p. m.;110
1503960366;4/12/2016 15:00;4/12/2016 0:00;3:00:00 p. m.;151
1503960366;4/12/2016 16:00;4/12/2016 0:00;4:00:00 p. m.;76
1503960366;4/12/2016 17:00;4/12/2016 0:00;5:00:00 p. m.;83
1503960366;4/12/2016 18:00;4/12/2016 0:00;6:00:00 p. m.;124
1503960366;4/12/2016 19:00;4/12/2016 0:00;7:00:00 p. m.;104
1503960366;4/12/2016 20:00;4/12/2016 0:00;8:00:00 p. m.;132
1503960366;4/12/2016 21:00;4/12/2016 0:00;9:00:00 p. m.;100
1503960366;4/12/2016 22:00;4/12/2016 0:00;10:00:00 p. m.;65
1503960366;4/12/2016 23:00;4/12/2016 0:00;11:00:00 p. m.;81
1503960366;5/01/2016 0:00;5/01/2016 0:00;12:00:00 a. m.;64
1503960366;5/01/2016 1:00;5/01/2016 0:00;1:00:00 a. m.;60
1503960366;5/01/2016 2:00;5/01/2016 0:00;2:00:00 a. m.;50
1503960366;5/01/2016 3:00;5/01/2016 0:00;3:00:00 a. m.;48
1503960366;5/01/2016 4:00;5/01/2016 0:00;4:00:00 a. m.;47
1503960366;5/01/2016 5:00;5/01/2016 0:00;5:00:00 a. m.;48
1503960366;5/01/2016 6:00;5/01/2016 0:00;6:00:00 a. m.;47
1503960366;5/01/2016 7:00;5/01/2016 0:00;7:00:00 a. m.;52
1503960366;5/01/2016 8:00;5/01/2016 0:00;8:00:00 a. m.;56
1503960366;5/01/2016 9:00;5/01/2016 0:00;9:00:00 a. m.;67
1503960366;5/01/2016 10:00;5/01/2016 0:00;10:00:00 a. m.;61
1503960366;5/01/2016 11:00;5/01/2016 0:00;11:00:00 a. m.;65
1503960366;5/01/2016 12:00;5/01/2016 0:00;12:00:00 p. m.;66
