Id;ActivityHour;Date;Hour;StepTotal
1503960366;4/12/2016 0:00;4/12/2016;12:00:00 a. m.;373
1503960366;4/12/2016 1:00;4/12/2016;1:00:00 a. m.;160
1503960366;4/12/2016 2:00;4/12/2016;2:00:00 a. m.;151
1503960366;4/12/2016 3:00;4/12/2016;3:00:00 a. m.;0
1503960366;4/12/2016 4:00;4/12/2016;4:00:00 a. m.;0
1503960366;4/12/2016 5:00;4/12/2016;5:00:00 a. m.;0
1503960366;4/12/2016 6:00;4/12/2016;6:00:00 a. m.;0
1503960366;4/12/2016 7:00;4/12/2016;7:00:00 a. m.;0
1503960366;4/12/2016 8:00;4/12/2016;8:00:00 a. m.;250
1503960366;4/12/2016 9:00;4/12/2016;9:00:00 a. m.;1864
1503960366;4/12/2016 10:00;4/12/2016;10:00:00 a. m.;676
1503960366;4/12/2016 11:00;4/12/2016;11:00:00 a. m.;360
1503960366;4/12/2016 12:00;4/12/2016;12:00:00 p. m.;253
1503960366;4/12/2016 13:00;4/12/2016;1:00:00 p. m.;221
1503960366;4/12/2016 14:00;4/12/2016;2:00:00 p. m.;1166
1503960366;4/12/2016 15:00;4/12/2016;3:00:00 p. m.;2063
1503960366;4/12/2016 16:00;4/12/2016;4:00:00 p. m.;344
1503960366;4/12/2016 17:00;4/12/2016;5:00:00 p. m.;489
1503960366;4/12/2016 18:00;4/12/2016;6:00:00 p. m.;1386
1503960366;4/12/2016 19:00;4/12/2016;7:00:00 p. m.;558
1503960366;4/12/2016 20:00;4/12/2016;8:00:00 p. m.;1733
1503960366;4/12/2016 21:00;4/12/2016;9:00:00 p. m.;684
1503960366;4/12/2016 22:00;4/12/2016;10:00:00 p. m.;89
1503960366;4/12/2016 23:00;4/12/2016;11:00:00 p. m.;338
1503960366;5/01/2016 0:00;5/01/2016;12:00:00 a. m.;247
1503960366;5/01/2016 1:00;5/01/2016;1:00:00 a. m.;59
1503960366;5/01/2016 2:00;5/01/2016;2:00:00 a. m.;36
1503960366;5/01/2016 3:00;5/01/2016;3:00:00 a. m.;4
1503960366;5/01/2016 4:00;5/01/2016;4:00:00 a. m.;0
1503960366;5/01/2016 5:00;5/01/2016;5:00:00 a. m.;0
1503960366;5/01/2016 6:00;5/01/2016;6:00:00 a. m.;0
1503960366;5/01/2016 7:00;5/01/2016;7:00:00 a. m.;41
1503960366;5/01/2016 8:00;5/01/2016;8:00:00 a. m.;94
1503960366;5/01/2016 9:00;5/01/2016;9:00:00 a. m.;198
1503960366;5/01/2016 10:00;5/01/2016;10:00:00 a. m.;146
1503960366;5/01/2016 11:00;5/01/2016;11:00:00 a. m.;103
1503960366;5/01/2016 12:00;5/01/2016;12:00:00 p. m.;130
1503960366;5/01/2016 13:00;5/01/2016;1:00:00 p. m.;85
1503960366;5/01/2016 14:00;5/01/2016;2:00:00 p. m.;540
1503960366;5/01/2016 15:00;5/01/2016;3:00:00 p. m.;294
1503960366;5/01/2016 16:00;5/01/2016;4:00:00 p. m.;823
1503960366;5/01/2016 17:00;5/01/2016;5:00:00 p. m.;1053
1503960366;5/01/2016 18:00;5/01/2016;6:00:00 p. m.;2007
1503960366;5/01/2016 19:00;5/01/2016;7:00:00 p. m.;177
1503960366;5/01/2016 20:00;5/01/2016;8:00:00 p. m.;93
1503960366;5/01/2016 21:00;5/01/2016;9:00:00 p. m.;363
1503960366;5/01/2016 22:00;5/01/2016;10:00:00 p. m.;1552
1503960366;5/01/2016 23:00;5/01/2016;11:00:00 p. m.;2557
1503960366;5/02/2016 0:00;5/02/2016;12:00:00 a. m.;0
1503960366;5/02/2016 1:00;5/02/2016;1:00:00 a. m.;119
1503960366;5/02/2016 2:00;5/02/2016;2:00:00 a. m.;0
1503960366;5/02/2016 3:00;5/02/2016;3:00:00 a. m.;21
1503960366;5/02/2016 4:00;5/02/2016;4:00:00 a. m.;0
1503960366;5/02/2016 5:00;5/02/2016;5:00:00 a. m.;0
1503960366;5/02/2016 6:00;5/02/2016;6:00:00 a. m.;0
1503960366;5/02/2016 7:00;5/02/2016;7:00:00 a. m.;28
1503960366;5/02/2016 8:00;5/02/2016;8:00:00 a. m.;245
1503960366;5/02/2016 9:00;5/02/2016;9:00:00 a. m.;1690
1503960366;5/02/2016 10:00;5/02/2016;10:00:00 a. m.;369
1503960366;5/02/2016 11:00;5/02/2016;11:00:00 a. m.;384
1503960366;5/02/2016 12:00;5/02/2016;12:00:00 p. m.;2116
1503960366;5/02/2016 13:00;5/02/2016;1:00:00 p. m.;1064
1503960366;5/02/2016 14:00;5/02/2016;2:00:00 p. m.;355
1503960366;5/02/2016 15:00;5/02/2016;3:00:00 p. m.;418
1503960366;5/02/2016 16:00;5/02/2016;4:00:00 p. m.;420
1503960366;5/02/2016 17:00;5/02/2016;5:00:00 p. m.;340
1503960366;5/02/2016 18:00;5/02/2016;6:00:00 p. m.;227
1503960366;5/02/2016 19:00;5/02/2016;7:00:00 p. m.;235
